gene_id	colors
ENSG00000003402	turquoise
ENSG00000004799	turquoise
ENSG00000008130	turquoise
ENSG00000008256	turquoise
ENSG00000008311	turquoise
ENSG00000009413	turquoise
ENSG00000011198	turquoise
ENSG00000011566	turquoise
ENSG00000019995	turquoise
ENSG00000020577	turquoise
ENSG00000021645	turquoise
ENSG00000023909	turquoise
ENSG00000025708	turquoise
ENSG00000028137	turquoise
ENSG00000034152	turquoise
ENSG00000035403	turquoise
ENSG00000035664	turquoise
ENSG00000046653	turquoise
ENSG00000048707	turquoise
ENSG00000048740	turquoise
ENSG00000049540	turquoise
ENSG00000053747	turquoise
ENSG00000060718	turquoise
ENSG00000064115	turquoise
ENSG00000064666	turquoise
ENSG00000065320	turquoise
ENSG00000065717	turquoise
ENSG00000067082	turquoise
ENSG00000067167	turquoise
ENSG00000067177	turquoise
ENSG00000067798	turquoise
ENSG00000068383	turquoise
ENSG00000068781	turquoise
ENSG00000068831	turquoise
ENSG00000069431	turquoise
ENSG00000069535	turquoise
ENSG00000069998	turquoise
ENSG00000070404	turquoise
ENSG00000070540	turquoise
ENSG00000071127	turquoise
ENSG00000071242	turquoise
ENSG00000071282	turquoise
ENSG00000072163	turquoise
ENSG00000072958	turquoise
ENSG00000073792	turquoise
ENSG00000074181	turquoise
ENSG00000074527	turquoise
ENSG00000074590	turquoise
ENSG00000075624	turquoise
ENSG00000076716	turquoise
ENSG00000077254	turquoise
ENSG00000077684	turquoise
ENSG00000077943	turquoise
ENSG00000078053	turquoise
ENSG00000079691	turquoise
ENSG00000080573	turquoise
ENSG00000081052	turquoise
ENSG00000081320	turquoise
ENSG00000081377	turquoise
ENSG00000081803	turquoise
ENSG00000082146	turquoise
ENSG00000083223	turquoise
ENSG00000083290	turquoise
ENSG00000084090	turquoise
ENSG00000084674	turquoise
ENSG00000085117	turquoise
ENSG00000087448	turquoise
ENSG00000090376	turquoise
ENSG00000091136	turquoise
ENSG00000092068	turquoise
ENSG00000095303	turquoise
ENSG00000096060	turquoise
ENSG00000097096	turquoise
ENSG00000099204	turquoise
ENSG00000099337	turquoise
ENSG00000099860	turquoise
ENSG00000100033	turquoise
ENSG00000100242	turquoise
ENSG00000100767	turquoise
ENSG00000100906	turquoise
ENSG00000101342	turquoise
ENSG00000101347	turquoise
ENSG00000101608	turquoise
ENSG00000101938	turquoise
ENSG00000101955	turquoise
ENSG00000102466	turquoise
ENSG00000102554	turquoise
ENSG00000102760	turquoise
ENSG00000102802	turquoise
ENSG00000102804	turquoise
ENSG00000102996	turquoise
ENSG00000103064	turquoise
ENSG00000103175	turquoise
ENSG00000103196	turquoise
ENSG00000103381	turquoise
ENSG00000103502	turquoise
ENSG00000104936	turquoise
ENSG00000105426	turquoise
ENSG00000105835	turquoise
ENSG00000105889	turquoise
ENSG00000105976	turquoise
ENSG00000106034	turquoise
ENSG00000106123	turquoise
ENSG00000106615	turquoise
ENSG00000106617	turquoise
ENSG00000106772	turquoise
ENSG00000107104	turquoise
ENSG00000107372	turquoise
ENSG00000107438	turquoise
ENSG00000107738	turquoise
ENSG00000107796	turquoise
ENSG00000107968	turquoise
